"data";"sq_casa";"sq_ospite";"risultato_finale";"reti_casa";"reti_ospite";"divisione";"serie";"tot_reti";"diff_reti";"risultato"
"1974-08-27";"Queens Park Rangers";"Leeds United";"1-1";1;1;1;1;2;0;"D"
"1974-08-27";"Sheffield United";"Newcastle United";"2-1";2;1;1;1;3;1;"H"
"1974-08-28";"Leicester City";"Birmingham City";"1-1";1;1;1;1;2;0;"D"
"1974-08-28";"Luton Town";"West Ham United";"0-0";0;0;1;1;0;0;"D"
"1974-08-28";"Stoke City";"Everton";"1-1";1;1;1;1;2;0;"D"
"1974-08-28";"Tottenham Hotspur";"Manchester City";"1-2";1;2;1;1;3;-1;"A"
"1974-08-31";"Birmingham City";"Wolverhampton Wanderers";"1-1";1;1;1;1;2;0;"D"
"1974-08-31";"Burnley";"Coventry City";"3-0";3;0;1;1;3;3;"H"
"1974-08-31";"Chelsea";"Liverpool";"0-3";0;3;1;1;3;-3;"A"
"1974-08-31";"Everton";"Arsenal";"2-1";2;1;1;1;3;1;"H"
"1974-08-31";"Leicester City";"Carlisle United";"1-1";1;1;1;1;2;0;"D"
"1974-08-31";"Luton Town";"Queens Park Rangers";"1-1";1;1;1;1;2;0;"D"
"1974-08-31";"Manchester City";"Leeds United";"2-1";2;1;1;1;3;1;"H"
"1974-08-31";"Newcastle United";"West Ham United";"2-0";2;0;1;1;2;2;"H"
"1974-08-31";"Sheffield United";"Ipswich Town";"3-1";3;1;1;1;4;2;"H"
"1974-08-31";"Stoke City";"Middlesbrough";"1-1";1;1;1;1;2;0;"D"
"1974-08-31";"Tottenham Hotspur";"Derby County";"2-0";2;0;1;1;2;2;"H"
"1974-09-07";"Arsenal";"Burnley";"0-1";0;1;1;1;1;-1;"A"
"1974-09-07";"Carlisle United";"Stoke City";"0-2";0;2;1;1;2;-2;"A"
"1974-09-07";"Coventry City";"Manchester City";"2-2";2;2;1;1;4;0;"D"
"1974-09-07";"Derby County";"Newcastle United";"2-2";2;2;1;1;4;0;"D"
"1974-09-07";"Ipswich Town";"Everton";"1-0";1;0;1;1;1;1;"H"
"1974-09-07";"Leeds United";"Luton Town";"1-1";1;1;1;1;2;0;"D"
"1974-09-07";"Liverpool";"Tottenham Hotspur";"5-2";5;2;1;1;7;3;"H"
"1974-09-07";"Middlesbrough";"Chelsea";"1-1";1;1;1;1;2;0;"D"
"1974-09-07";"Queens Park Rangers";"Birmingham City";"0-1";0;1;1;1;1;-1;"A"
"1974-09-07";"West Ham United";"Sheffield United";"1-2";1;2;1;1;3;-1;"A"
"1974-09-07";"Wolverhampton Wanderers";"Leicester City";"1-1";1;1;1;1;2;0;"D"
"1974-09-14";"Birmingham City";"Derby County";"3-2";3;2;1;1;5;1;"H"
"1974-09-14";"Burnley";"Leeds United";"2-1";2;1;1;1;3;1;"H"
"1974-09-14";"Chelsea";"Arsenal";"0-0";0;0;1;1;0;0;"D"
"1974-09-14";"Everton";"Wolverhampton Wanderers";"0-0";0;0;1;1;0;0;"D"
"1974-09-14";"Leicester City";"Queens Park Rangers";"3-1";3;1;1;1;4;2;"H"
"1974-09-14";"Luton Town";"Ipswich Town";"1-4";1;4;1;1;5;-3;"A"
"1974-09-14";"Manchester City";"Liverpool";"2-0";2;0;1;1;2;2;"H"
"1974-09-14";"Newcastle United";"Carlisle United";"1-0";1;0;1;1;1;1;"H"
"1974-09-14";"Sheffield United";"Middlesbrough";"1-0";1;0;1;1;1;1;"H"
"1974-09-14";"Stoke City";"Coventry City";"2-0";2;0;1;1;2;2;"H"
"1974-09-14";"Tottenham Hotspur";"West Ham United";"2-1";2;1;1;1;3;1;"H"
"1974-09-21";"Arsenal";"Luton Town";"2-2";2;2;1;1;4;0;"D"
"1974-09-21";"Carlisle United";"Birmingham City";"1-0";1;0;1;1;1;1;"H"
"1974-09-21";"Coventry City";"Everton";"1-1";1;1;1;1;2;0;"D"
"1974-09-21";"Derby County";"Burnley";"3-2";3;2;1;1;5;1;"H"
"1974-09-21";"Ipswich Town";"Chelsea";"2-0";2;0;1;1;2;2;"H"
"1974-09-21";"Leeds United";"Sheffield United";"5-1";5;1;1;1;6;4;"H"
"1974-09-21";"Liverpool";"Stoke City";"3-0";3;0;1;1;3;3;"H"
"1974-09-21";"Middlesbrough";"Manchester City";"3-0";3;0;1;1;3;3;"H"
"1974-09-21";"Queens Park Rangers";"Newcastle United";"1-2";1;2;1;1;3;-1;"A"
"1974-09-21";"West Ham United";"Leicester City";"6-2";6;2;1;1;8;4;"H"
"1974-09-21";"Wolverhampton Wanderers";"Tottenham Hotspur";"2-3";2;3;1;1;5;-1;"A"
"1974-09-24";"Carlisle United";"Manchester City";"0-0";0;0;1;1;0;0;"D"
"1974-09-24";"Coventry City";"Luton Town";"2-1";2;1;1;1;3;1;"H"
"1974-09-24";"Ipswich Town";"Stoke City";"3-1";3;1;1;1;4;2;"H"
"1974-09-24";"Liverpool";"Burnley";"0-1";0;1;1;1;1;-1;"A"
"1974-09-24";"Queens Park Rangers";"Everton";"2-2";2;2;1;1;4;0;"D"
"1974-09-24";"Wolverhampton Wanderers";"Sheffield United";"1-1";1;1;1;1;2;0;"D"
"1974-09-25";"Derby County";"Chelsea";"4-1";4;1;1;1;5;3;"H"
"1974-09-25";"West Ham United";"Birmingham City";"3-0";3;0;1;1;3;3;"H"
"1974-09-28";"Birmingham City";"Arsenal";"3-1";3;1;1;1;4;2;"H"
"1974-09-28";"Burnley";"West Ham United";"3-5";3;5;1;1;8;-2;"A"
"1974-09-28";"Chelsea";"Wolverhampton Wanderers";"0-1";0;1;1;1;1;-1;"A"
"1974-09-28";"Everton";"Leeds United";"3-2";3;2;1;1;5;1;"H"
"1974-09-28";"Leicester City";"Coventry City";"0-1";0;1;1;1;1;-1;"A"
"1974-09-28";"Luton Town";"Carlisle United";"3-1";3;1;1;1;4;2;"H"
"1974-09-28";"Manchester City";"Queens Park Rangers";"1-0";1;0;1;1;1;1;"H"
"1974-09-28";"Newcastle United";"Ipswich Town";"1-0";1;0;1;1;1;1;"H"
"1974-09-28";"Sheffield United";"Liverpool";"1-0";1;0;1;1;1;1;"H"
"1974-09-28";"Stoke City";"Derby County";"1-1";1;1;1;1;2;0;"D"
"1974-09-28";"Tottenham Hotspur";"Middlesbrough";"1-2";1;2;1;1;3;-1;"A"
"1974-10-05";"Birmingham City";"Coventry City";"1-2";1;2;1;1;3;-1;"A"
"1974-10-05";"Carlisle United";"Liverpool";"0-1";0;1;1;1;1;-1;"A"
"1974-10-05";"Everton";"Newcastle United";"1-1";1;1;1;1;2;0;"D"
"1974-10-05";"Leeds United";"Arsenal";"2-0";2;0;1;1;2;2;"H"
"1974-10-05";"Leicester City";"Luton Town";"0-0";0;0;1;1;0;0;"D"
"1974-10-05";"Manchester City";"Chelsea";"1-1";1;1;1;1;2;0;"D"
"1974-10-05";"Middlesbrough";"Wolverhampton Wanderers";"2-1";2;1;1;1;3;1;"H"
"1974-10-05";"Queens Park Rangers";"Ipswich Town";"1-0";1;0;1;1;1;1;"H"
"1974-10-05";"Stoke City";"Sheffield United";"3-2";3;2;1;1;5;1;"H"
"1974-10-05";"Tottenham Hotspur";"Burnley";"2-3";2;3;1;1;5;-1;"A"
"1974-10-05";"West Ham United";"Derby County";"2-2";2;2;1;1;4;0;"D"
"1974-10-12";"Arsenal";"Queens Park Rangers";"2-2";2;2;1;1;4;0;"D"
"1974-10-12";"Burnley";"Manchester City";"2-1";2;1;1;1;3;1;"H"
"1974-10-12";"Chelsea";"Tottenham Hotspur";"1-0";1;0;1;1;1;1;"H"
"1974-10-12";"Coventry City";"West Ham United";"1-1";1;1;1;1;2;0;"D"
"1974-10-12";"Derby County";"Leicester City";"1-0";1;0;1;1;1;1;"H"
"1974-10-12";"Ipswich Town";"Leeds United";"0-0";0;0;1;1;0;0;"D"
"1974-10-12";"Liverpool";"Middlesbrough";"2-0";2;0;1;1;2;2;"H"
"1974-10-12";"Luton Town";"Birmingham City";"1-3";1;3;1;1;4;-2;"A"
"1974-10-12";"Newcastle United";"Stoke City";"2-2";2;2;1;1;4;0;"D"
"1974-10-12";"Sheffield United";"Everton";"2-2";2;2;1;1;4;0;"D"
"1974-10-12";"Wolverhampton Wanderers";"Carlisle United";"2-0";2;0;1;1;2;2;"H"
"1974-10-15";"Birmingham City";"Leeds United";"1-0";1;0;1;1;1;1;"H"
"1974-10-15";"Burnley";"Ipswich Town";"1-0";1;0;1;1;1;1;"H"
"1974-10-15";"Everton";"West Ham United";"1-1";1;1;1;1;2;0;"D"
"1974-10-15";"Sheffield United";"Derby County";"1-2";1;2;1;1;3;-1;"A"
"1974-10-16";"Luton Town";"Middlesbrough";"0-1";0;1;1;1;1;-1;"A"
"1974-10-16";"Manchester City";"Arsenal";"2-1";2;1;1;1;3;1;"H"
"1974-10-16";"Newcastle United";"Wolverhampton Wanderers";"0-0";0;0;1;1;0;0;"D"
"1974-10-16";"Tottenham Hotspur";"Carlisle United";"1-1";1;1;1;1;2;0;"D"
"1974-10-19";"Birmingham City";"Newcastle United";"3-0";3;0;1;1;3;3;"H"
"1974-10-19";"Carlisle United";"Derby County";"3-0";3;0;1;1;3;3;"H"
"1974-10-19";"Everton";"Chelsea";"1-1";1;1;1;1;2;0;"D"
"1974-10-19";"Leeds United";"Wolverhampton Wanderers";"2-0";2;0;1;1;2;2;"H"
"1974-10-19";"Leicester City";"Sheffield United";"3-0";3;0;1;1;3;3;"H"
"1974-10-19";"Manchester City";"Luton Town";"1-0";1;0;1;1;1;1;"H"
"1974-10-19";"Middlesbrough";"Coventry City";"4-4";4;4;1;1;8;0;"D"
"1974-10-19";"Queens Park Rangers";"Liverpool";"0-1";0;1;1;1;1;-1;"A"
"1974-10-19";"Stoke City";"Burnley";"2-0";2;0;1;1;2;2;"H"
"1974-10-19";"Tottenham Hotspur";"Arsenal";"2-0";2;0;1;1;2;2;"H"
"1974-10-19";"West Ham United";"Ipswich Town";"1-0";1;0;1;1;1;1;"H"
"1974-10-26";"Arsenal";"West Ham United";"3-0";3;0;1;1;3;3;"H"
"1974-10-26";"Burnley";"Everton";"1-1";1;1;1;1;2;0;"D"
"1974-10-26";"Chelsea";"Stoke City";"3-3";3;3;1;1;6;0;"D"
"1974-10-26";"Coventry City";"Carlisle United";"2-1";2;1;1;1;3;1;"H"
"1974-10-26";"Derby County";"Middlesbrough";"2-3";2;3;1;1;5;-1;"A"
"1974-10-26";"Ipswich Town";"Manchester City";"1-1";1;1;1;1;2;0;"D"
"1974-10-26";"Liverpool";"Leeds United";"1-0";1;0;1;1;1;1;"H"
"1974-10-26";"Luton Town";"Tottenham Hotspur";"1-1";1;1;1;1;2;0;"D"
"1974-10-26";"Newcastle United";"Leicester City";"0-1";0;1;1;1;1;-1;"A"
"1974-10-26";"Sheffield United";"Birmingham City";"3-2";3;2;1;1;5;1;"H"
"1974-10-26";"Wolverhampton Wanderers";"Queens Park Rangers";"1-2";1;2;1;1;3;-1;"A"
"1974-11-02";"Arsenal";"Wolverhampton Wanderers";"0-0";0;0;1;1;0;0;"D"
"1974-11-02";"Birmingham City";"Chelsea";"2-0";2;0;1;1;2;2;"H"
"1974-11-02";"Everton";"Manchester City";"2-0";2;0;1;1;2;2;"H"
"1974-11-02";"Ipswich Town";"Liverpool";"1-0";1;0;1;1;1;1;"H"
"1974-11-02";"Leeds United";"Derby County";"0-1";0;1;1;1;1;-1;"A"
"1974-11-02";"Leicester City";"Burnley";"1-0";1;0;1;1;1;1;"H"
"1974-11-02";"Newcastle United";"Luton Town";"1-0";1;0;1;1;1;1;"H"
"1974-11-02";"Queens Park Rangers";"Coventry City";"2-0";2;0;1;1;2;2;"H"
"1974-11-02";"Sheffield United";"Carlisle United";"2-1";2;1;1;1;3;1;"H"
"1974-11-02";"Stoke City";"Tottenham Hotspur";"2-2";2;2;1;1;4;0;"D"
"1974-11-02";"West Ham United";"Middlesbrough";"3-0";3;0;1;1;3;3;"H"
"1974-11-09";"Burnley";"Birmingham City";"2-2";2;2;1;1;4;0;"D"
"1974-11-09";"Carlisle United";"West Ham United";"0-1";0;1;1;1;1;-1;"A"
"1974-11-09";"Chelsea";"Leicester City";"0-0";0;0;1;1;0;0;"D"
"1974-11-09";"Coventry City";"Leeds United";"1-3";1;3;1;1;4;-2;"A"
"1974-11-09";"Derby County";"Queens Park Rangers";"5-2";5;2;1;1;7;3;"H"
"1974-11-09";"Liverpool";"Arsenal";"1-3";1;3;1;1;4;-2;"A"
"1974-11-09";"Luton Town";"Sheffield United";"0-1";0;1;1;1;1;-1;"A"
"1974-11-09";"Manchester City";"Stoke City";"1-0";1;0;1;1;1;1;"H"
"1974-11-09";"Middlesbrough";"Newcastle United";"0-0";0;0;1;1;0;0;"D"
"1974-11-09";"Tottenham Hotspur";"Everton";"1-1";1;1;1;1;2;0;"D"
"1974-11-09";"Wolverhampton Wanderers";"Ipswich Town";"2-1";2;1;1;1;3;1;"H"
"1974-11-13";"Chelsea";"Coventry City";"3-3";3;3;1;1;6;0;"D"
"1974-11-16";"Arsenal";"Derby County";"3-1";3;1;1;1;4;2;"H"
"1974-11-16";"Birmingham City";"Manchester City";"4-0";4;0;1;1;4;4;"H"
"1974-11-16";"Everton";"Liverpool";"0-0";0;0;1;1;0;0;"D"
"1974-11-16";"Ipswich Town";"Coventry City";"4-0";4;0;1;1;4;4;"H"
"1974-11-16";"Leeds United";"Middlesbrough";"2-2";2;2;1;1;4;0;"D"
"1974-11-16";"Leicester City";"Tottenham Hotspur";"1-2";1;2;1;1;3;-1;"A"
"1974-11-16";"Newcastle United";"Chelsea";"5-0";5;0;1;1;5;5;"H"
"1974-11-16";"Queens Park Rangers";"Carlisle United";"2-1";2;1;1;1;3;1;"H"
"1974-11-16";"Sheffield United";"Burnley";"2-2";2;2;1;1;4;0;"D"
"1974-11-16";"Stoke City";"Luton Town";"4-2";4;2;1;1;6;2;"H"
"1974-11-16";"West Ham United";"Wolverhampton Wanderers";"5-2";5;2;1;1;7;3;"H"
"1974-11-23";"Burnley";"Newcastle United";"4-1";4;1;1;1;5;3;"H"
"1974-11-23";"Carlisle United";"Leeds United";"1-2";1;2;1;1;3;-1;"A"
"1974-11-23";"Coventry City";"Arsenal";"3-0";3;0;1;1;3;3;"H"
"1974-11-23";"Derby County";"Ipswich Town";"2-0";2;0;1;1;2;2;"H"
"1974-11-23";"Liverpool";"West Ham United";"1-1";1;1;1;1;2;0;"D"
"1974-11-23";"Manchester City";"Leicester City";"4-1";4;1;1;1;5;3;"H"
"1974-11-23";"Middlesbrough";"Queens Park Rangers";"1-3";1;3;1;1;4;-2;"A"
"1974-11-23";"Tottenham Hotspur";"Birmingham City";"0-0";0;0;1;1;0;0;"D"
"1974-11-23";"Wolverhampton Wanderers";"Stoke City";"2-2";2;2;1;1;4;0;"D"
"1974-11-27";"Stoke City";"Queens Park Rangers";"1-0";1;0;1;1;1;1;"H"
"1974-11-30";"Arsenal";"Middlesbrough";"2-0";2;0;1;1;2;2;"H"
"1974-11-30";"Coventry City";"Liverpool";"1-1";1;1;1;1;2;0;"D"
"1974-11-30";"Everton";"Birmingham City";"4-1";4;1;1;1;5;3;"H"
"1974-11-30";"Ipswich Town";"Carlisle United";"3-1";3;1;1;1;4;2;"H"
"1974-11-30";"Leeds United";"Chelsea";"2-0";2;0;1;1;2;2;"H"
"1974-11-30";"Luton Town";"Burnley";"2-3";2;3;1;1;5;-1;"A"
"1974-11-30";"Newcastle United";"Manchester City";"2-1";2;1;1;1;3;1;"H"
"1974-11-30";"Queens Park Rangers";"West Ham United";"0-2";0;2;1;1;2;-2;"A"
"1974-11-30";"Sheffield United";"Tottenham Hotspur";"0-1";0;1;1;1;1;-1;"A"
"1974-11-30";"Stoke City";"Leicester City";"1-0";1;0;1;1;1;1;"H"
"1974-12-04";"Leeds United";"Tottenham Hotspur";"2-1";2;1;1;1;3;1;"H"
"1974-12-07";"Birmingham City";"Stoke City";"0-3";0;3;1;1;3;-3;"A"
"1974-12-07";"Burnley";"Queens Park Rangers";"3-0";3;0;1;1;3;3;"H"
"1974-12-07";"Carlisle United";"Arsenal";"2-1";2;1;1;1;3;1;"H"
"1974-12-07";"Chelsea";"Luton Town";"2-0";2;0;1;1;2;2;"H"
"1974-12-07";"Leicester City";"Everton";"0-2";0;2;1;1;2;-2;"A"
"1974-12-07";"Liverpool";"Derby County";"2-2";2;2;1;1;4;0;"D"
"1974-12-07";"Manchester City";"Sheffield United";"3-2";3;2;1;1;5;1;"H"
"1974-12-07";"Middlesbrough";"Ipswich Town";"3-0";3;0;1;1;3;3;"H"
"1974-12-07";"Tottenham Hotspur";"Newcastle United";"3-0";3;0;1;1;3;3;"H"
"1974-12-07";"West Ham United";"Leeds United";"2-1";2;1;1;1;3;1;"H"
"1974-12-07";"Wolverhampton Wanderers";"Coventry City";"2-0";2;0;1;1;2;2;"H"
"1974-12-10";"Middlesbrough";"Leicester City";"3-0";3;0;1;1;3;3;"H"
"1974-12-14";"Arsenal";"Leicester City";"0-0";0;0;1;1;0;0;"D"
"1974-12-14";"Carlisle United";"Chelsea";"1-2";1;2;1;1;3;-1;"A"
"1974-12-14";"Coventry City";"Newcastle United";"2-0";2;0;1;1;2;2;"H"
"1974-12-14";"Derby County";"Everton";"0-1";0;1;1;1;1;-1;"A"
"1974-12-14";"Ipswich Town";"Tottenham Hotspur";"4-0";4;0;1;1;4;4;"H"
"1974-12-14";"Leeds United";"Stoke City";"3-1";3;1;1;1;4;2;"H"
"1974-12-14";"Liverpool";"Luton Town";"2-0";2;0;1;1;2;2;"H"
"1974-12-14";"Middlesbrough";"Birmingham City";"3-0";3;0;1;1;3;3;"H"
"1974-12-14";"Queens Park Rangers";"Sheffield United";"1-0";1;0;1;1;1;1;"H"
"1974-12-14";"West Ham United";"Manchester City";"0-0";0;0;1;1;0;0;"D"
"1974-12-14";"Wolverhampton Wanderers";"Burnley";"4-2";4;2;1;1;6;2;"H"
"1974-12-20";"Leicester City";"Ipswich Town";"0-1";0;1;1;1;1;-1;"A"
"1974-12-20";"Sheffield United";"Coventry City";"1-0";1;0;1;1;1;1;"H"
"1974-12-21";"Birmingham City";"Liverpool";"3-1";3;1;1;1;4;2;"H"
"1974-12-21";"Burnley";"Middlesbrough";"1-1";1;1;1;1;2;0;"D"
"1974-12-21";"Chelsea";"West Ham United";"1-1";1;1;1;1;2;0;"D"
"1974-12-21";"Everton";"Carlisle United";"2-3";2;3;1;1;5;-1;"A"
"1974-12-21";"Luton Town";"Derby County";"1-0";1;0;1;1;1;1;"H"
"1974-12-21";"Manchester City";"Wolverhampton Wanderers";"0-0";0;0;1;1;0;0;"D"
"1974-12-21";"Newcastle United";"Leeds United";"3-0";3;0;1;1;3;3;"H"
"1974-12-21";"Stoke City";"Arsenal";"0-2";0;2;1;1;2;-2;"A"
"1974-12-21";"Tottenham Hotspur";"Queens Park Rangers";"1-2";1;2;1;1;3;-1;"A"
"1974-12-26";"Arsenal";"Chelsea";"1-2";1;2;1;1;3;-1;"A"
"1974-12-26";"Carlisle United";"Newcastle United";"1-2";1;2;1;1;3;-1;"A"
"1974-12-26";"Coventry City";"Stoke City";"2-0";2;0;1;1;2;2;"H"
"1974-12-26";"Derby County";"Birmingham City";"2-1";2;1;1;1;3;1;"H"
"1974-12-26";"Ipswich Town";"Luton Town";"0-1";0;1;1;1;1;-1;"A"
"1974-12-26";"Leeds United";"Burnley";"2-2";2;2;1;1;4;0;"D"
"1974-12-26";"Liverpool";"Manchester City";"4-1";4;1;1;1;5;3;"H"
"1974-12-26";"Middlesbrough";"Sheffield United";"1-0";1;0;1;1;1;1;"H"
"1974-12-26";"Queens Park Rangers";"Leicester City";"4-2";4;2;1;1;6;2;"H"
"1974-12-26";"West Ham United";"Tottenham Hotspur";"1-1";1;1;1;1;2;0;"D"
"1974-12-26";"Wolverhampton Wanderers";"Everton";"2-0";2;0;1;1;2;2;"H"
"1974-12-28";"Birmingham City";"Ipswich Town";"0-1";0;1;1;1;1;-1;"A"
"1974-12-28";"Burnley";"Carlisle United";"2-1";2;1;1;1;3;1;"H"
"1974-12-28";"Chelsea";"Queens Park Rangers";"0-3";0;3;1;1;3;-3;"A"
"1974-12-28";"Everton";"Middlesbrough";"1-1";1;1;1;1;2;0;"D"
"1974-12-28";"Leicester City";"Leeds United";"0-2";0;2;1;1;2;-2;"A"
"1974-12-28";"Luton Town";"Wolverhampton Wanderers";"3-2";3;2;1;1;5;1;"H"
"1974-12-28";"Manchester City";"Derby County";"1-2";1;2;1;1;3;-1;"A"
"1974-12-28";"Sheffield United";"Arsenal";"1-1";1;1;1;1;2;0;"D"
"1974-12-28";"Stoke City";"West Ham United";"2-1";2;1;1;1;3;1;"H"
"1974-12-28";"Tottenham Hotspur";"Coventry City";"1-1";1;1;1;1;2;0;"D"
"1975-01-11";"Arsenal";"Carlisle United";"2-1";2;1;1;1;3;1;"H"
"1975-01-11";"Coventry City";"Wolverhampton Wanderers";"2-1";2;1;1;1;3;1;"H"
"1975-01-11";"Derby County";"Liverpool";"2-0";2;0;1;1;2;2;"H"
"1975-01-11";"Everton";"Leicester City";"3-0";3;0;1;1;3;3;"H"
"1975-01-11";"Ipswich Town";"Middlesbrough";"2-0";2;0;1;1;2;2;"H"
"1975-01-11";"Leeds United";"West Ham United";"2-1";2;1;1;1;3;1;"H"
"1975-01-11";"Luton Town";"Chelsea";"1-1";1;1;1;1;2;0;"D"
"1975-01-11";"Newcastle United";"Tottenham Hotspur";"2-5";2;5;1;1;7;-3;"A"
"1975-01-11";"Queens Park Rangers";"Burnley";"0-1";0;1;1;1;1;-1;"A"
"1975-01-11";"Sheffield United";"Manchester City";"1-1";1;1;1;1;2;0;"D"
"1975-01-11";"Stoke City";"Birmingham City";"0-0";0;0;1;1;0;0;"D"
"1975-01-18";"Birmingham City";"Everton";"0-3";0;3;1;1;3;-3;"A"
"1975-01-18";"Burnley";"Luton Town";"1-0";1;0;1;1;1;1;"H"
"1975-01-18";"Carlisle United";"Ipswich Town";"2-1";2;1;1;1;3;1;"H"
"1975-01-18";"Chelsea";"Leeds United";"0-2";0;2;1;1;2;-2;"A"
"1975-01-18";"Leicester City";"Stoke City";"1-1";1;1;1;1;2;0;"D"
"1975-01-18";"Liverpool";"Coventry City";"2-1";2;1;1;1;3;1;"H"
"1975-01-18";"Manchester City";"Newcastle United";"5-1";5;1;1;1;6;4;"H"
"1975-01-18";"Middlesbrough";"Arsenal";"0-0";0;0;1;1;0;0;"D"
"1975-01-18";"Tottenham Hotspur";"Sheffield United";"1-3";1;3;1;1;4;-2;"A"
"1975-01-18";"West Ham United";"Queens Park Rangers";"2-2";2;2;1;1;4;0;"D"
"1975-01-18";"Wolverhampton Wanderers";"Derby County";"0-1";0;1;1;1;1;-1;"A"
"1975-02-01";"Arsenal";"Liverpool";"2-0";2;0;1;1;2;2;"H"
"1975-02-01";"Birmingham City";"Burnley";"1-1";1;1;1;1;2;0;"D"
"1975-02-01";"Everton";"Tottenham Hotspur";"1-0";1;0;1;1;1;1;"H"
"1975-02-01";"Ipswich Town";"Wolverhampton Wanderers";"2-0";2;0;1;1;2;2;"H"
"1975-02-01";"Leeds United";"Coventry City";"0-0";0;0;1;1;0;0;"D"
"1975-02-01";"Leicester City";"Chelsea";"1-1";1;1;1;1;2;0;"D"
"1975-02-01";"Newcastle United";"Middlesbrough";"2-1";2;1;1;1;3;1;"H"
"1975-02-01";"Queens Park Rangers";"Derby County";"4-1";4;1;1;1;5;3;"H"
"1975-02-01";"Sheffield United";"Luton Town";"1-1";1;1;1;1;2;0;"D"
"1975-02-01";"Stoke City";"Manchester City";"4-0";4;0;1;1;4;4;"H"
"1975-02-01";"West Ham United";"Carlisle United";"2-0";2;0;1;1;2;2;"H"
"1975-02-08";"Burnley";"Leicester City";"2-0";2;0;1;1;2;2;"H"
"1975-02-08";"Carlisle United";"Sheffield United";"0-1";0;1;1;1;1;-1;"A"
"1975-02-08";"Chelsea";"Birmingham City";"2-1";2;1;1;1;3;1;"H"
"1975-02-08";"Coventry City";"Queens Park Rangers";"1-1";1;1;1;1;2;0;"D"
"1975-02-08";"Derby County";"Leeds United";"0-0";0;0;1;1;0;0;"D"
